player_id,Player,DraftYear,Pick,PickBand,text_profile
62,John Mills,1947,63,SecondRound,"Giocatore: John Mills. Provenienza: Hofstra. Scelto al Draft NBA 1947 con la pick 63. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
63,Saul Mariaschin,1947,64,SecondRound,"Giocatore: Saul Mariaschin. Provenienza: Harvard University. Scelto al Draft NBA 1947 con la pick 64. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 70.9%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 60.0 a partita, ottimo playmaker e passatore. Segna in media 333.0 punti a partita. Win Shares in carriera: 1.1."
64,Elmer Gainer,1947,65,SecondRound,"Giocatore: Elmer Gainer. Provenienza: DePaul. Scelto al Draft NBA 1947 con la pick 65. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 64.3%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 10.0 a partita, ottimo playmaker e passatore. Segna in media 29.0 punti a partita. Win Shares in carriera: -0.3."
65,John Kelly,1947,66,SecondRound,"Giocatore: John Kelly. Provenienza: Notre Dame. Scelto al Draft NBA 1947 con la pick 66. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
66,Don Smith,1947,67,SecondRound,"Giocatore: Don Smith. Provenienza: Minnesota. Scelto al Draft NBA 1947 con la pick 67. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 66.7%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 2.0 a partita, non particolarmente orientato agli assist. Segna in media 6.0 punti a partita. Win Shares in carriera: -0.1."
67,Dan Miller,1947,68,SecondRound,"Giocatore: Dan Miller. Provenienza: Saint Louis. Scelto al Draft NBA 1947 con la pick 68. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
68,Al Nichols,1947,69,SecondRound,"Giocatore: Al Nichols. Provenienza: Rhode Island. Scelto al Draft NBA 1947 con la pick 69. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
69,Paul Cloyd,1947,70,SecondRound,"Giocatore: Paul Cloyd. Provenienza: Wisconsin. Scelto al Draft NBA 1947 con la pick 70. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 62.5%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 2.0 a partita, non particolarmente orientato agli assist. Segna in media 19.0 punti a partita. Win Shares in carriera: -0.1."
70,Chick Reiser,1947,71,SecondRound,"Giocatore: Chick Reiser. Provenienza: NYU. Scelto al Draft NBA 1947 con la pick 71. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 77.2%, buon tiratore di tiri liberi. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 346.0 a partita, ottimo playmaker e passatore. Segna in media 1773.0 punti a partita. Win Shares in carriera: 13.2."
71,George Petrovick,1947,72,SecondRound,"Giocatore: George Petrovick. Provenienza: High School. Scelto al Draft NBA 1947 con la pick 72. Fascia di scelta: SecondRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
