player_id,Player,DraftYear,Pick,PickBand,text_profile,Status
47,Paul Hoffman,1947,48.0,SecondRound,"Giocatore: Paul Hoffman. Proveniente da Purdue. Selezionato al Draft NBA 1947 con la pick 48 (SecondRound). Tiri liberi: 67.6%, tiratore di liberi migliorabile. Segna 10.2 punti a partita. Cattura 5.1 rimbalzi a partita. Distribuisce 2.9 assist di media. Win Shares totali: 12.4.",Retired
48,Matt Zunic,1947,49.0,SecondRound,"Giocatore: Matt Zunic. Proveniente da George Washington. Selezionato al Draft NBA 1947 con la pick 49 (SecondRound). Tiri liberi: 70.6%, tiratore di liberi migliorabile. Segna 4.9 punti a partita. Distribuisce 0.9 assist di media. Win Shares totali: 2.0.",Retired
49,Scotty Hamilton,1947,50.0,SecondRound,"Giocatore: Scotty Hamilton. Proveniente da West Virginia. Selezionato al Draft NBA 1947 con la pick 50 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
50,Bob Alameida,1947,51.0,SecondRound,"Giocatore: Bob Alameida. Proveniente da California. Selezionato al Draft NBA 1947 con la pick 51 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
51,Ralph Bishop,1947,52.0,SecondRound,"Giocatore: Ralph Bishop. Proveniente da Washington. Selezionato al Draft NBA 1947 con la pick 52 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
52,Andy Duncan,1947,53.0,SecondRound,"Giocatore: Andy Duncan. Proveniente da William & Mary. Selezionato al Draft NBA 1947 con la pick 53 (SecondRound). Tiri liberi: 59.6%, tiratore di liberi migliorabile. Segna 5.5 punti a partita. Cattura 2.1 rimbalzi a partita. Distribuisce 0.7 assist di media. Win Shares totali: 6.8.",Retired
53,Herman Knoche,1947,54.0,SecondRound,"Giocatore: Herman Knoche. Proveniente da Washington & Jefferson College. Selezionato al Draft NBA 1947 con la pick 54 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
54,Roy Lipscomb,1947,55.0,SecondRound,"Giocatore: Roy Lipscomb. Proveniente da St. Mary's College of Maryland. Selezionato al Draft NBA 1947 con la pick 55 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
55,Paul Napolitano,1947,56.0,SecondRound,Giocatore: Paul Napolitano. Proveniente da San Francisco. Selezionato al Draft NBA 1947 con la pick 56 (SecondRound). Segna 0.0 punti a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.,Retired
56,Irv Rothenberg,1947,57.0,SecondRound,"Giocatore: Irv Rothenberg. Proveniente da Long Island University. Selezionato al Draft NBA 1947 con la pick 57 (SecondRound). Tiri liberi: 60.6%, tiratore di liberi migliorabile. Segna 5.4 punti a partita. Distribuisce 0.7 assist di media. Win Shares totali: 3.6.",Retired
57,Hugh Hampton,1947,58.0,SecondRound,"Giocatore: Hugh Hampton. Proveniente da High Point University. Selezionato al Draft NBA 1947 con la pick 58 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
58,George Felt,1947,59.0,SecondRound,"Giocatore: George Felt. Proveniente da Northwestern. Selezionato al Draft NBA 1947 con la pick 59 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
59,Jim Pollard,1947,60.0,SecondRound,"Giocatore: Jim Pollard. Proveniente da Stanford. Selezionato al Draft NBA 1947 con la pick 60 (SecondRound). Tiri liberi: 75.0%, buon tiratore di tiri liberi. Segna 13.2 punti a partita. Cattura 7.8 rimbalzi a partita. Distribuisce 3.2 assist di media. Win Shares totali: 34.9.",Retired
60,Wat Misaka,1947,61.0,SecondRound,"Giocatore: Wat Misaka. Proveniente da Utah. Selezionato al Draft NBA 1947 con la pick 61 (SecondRound). Tiri liberi: 33.3%, tiratore di liberi migliorabile. Segna 2.3 punti a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
61,Jack Walton,1947,62.0,SecondRound,"Giocatore: Jack Walton. Proveniente da DePaul. Selezionato al Draft NBA 1947 con la pick 62 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
62,John Mills,1947,63.0,SecondRound,"Giocatore: John Mills. Proveniente da Hofstra. Selezionato al Draft NBA 1947 con la pick 63 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
63,Saul Mariaschin,1947,64.0,SecondRound,"Giocatore: Saul Mariaschin. Proveniente da Harvard University. Selezionato al Draft NBA 1947 con la pick 64 (SecondRound). Tiri liberi: 70.9%, tiratore di liberi migliorabile. Segna 7.7 punti a partita. Distribuisce 1.4 assist di media. Win Shares totali: 1.1.",Retired
64,Elmer Gainer,1947,65.0,SecondRound,"Giocatore: Elmer Gainer. Proveniente da DePaul. Selezionato al Draft NBA 1947 con la pick 65 (SecondRound). Tiri liberi: 64.3%, tiratore di liberi migliorabile. Segna 1.5 punti a partita. Distribuisce 0.5 assist di media. Win Shares totali: -0.3.",Retired
65,John Kelly,1947,66.0,SecondRound,"Giocatore: John Kelly. Proveniente da Notre Dame. Selezionato al Draft NBA 1947 con la pick 66 (SecondRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
